State   County  Year    UFOSightingCount   Population_Density   Housing_Density
North Carolina  macon  1999  1  57.7  40.2
Wisconsin  waukesha  2005  5  709.4  292.7
Tennessee  maury  2009  4  132.0  57.5
Illinois  madison  2005  4  376.3  163.7
Arkansas  pulaski  1998  5  468.9  209.0
South Carolina  darlington  2009  3  122.4  54.0
Iowa  washington  2005  1  38.2  16.7
Michigan  tuscola  1999  1  71.7  28.8
Wisconsin  milwaukee  1996  1  3892.1  1656.3
Virginia  albemarle  2004  1  137.3  58.4
New York  oswego  2007  2  128.3  56.3
Montana  gallatin  2008  1  34.4  16.2
Texas  orange  2006  1  245.3  105.8
Illinois  mchenry  1997  1  430.9  153.9
Iowa  harrison  2001  1  21.4  9.7
Indiana  gibson  2001  1  68.7  30.0
Minnesota  douglas  1996  1  51.7  26.3
Texas  mclennan  2000  2  204.9  81.4
North Carolina  rockingham  2007  1  165.6  77.3
Texas  williamson  1998  2  222.6  80.4
Michigan  crawford  1999  1  25.6  18.0
Arkansas  garland  2008  3  141.7  74.6
Texas  collin  1991  1  580.1  229.9
Alabama  etowah  2010  1  195.2  88.7
New Jersey  middlesex  1997  1  2422.1  883.5
Wisconsin  columbia  1998  1  67.8  29.3
Ohio  pike  2006  1  65.2  28.3
Colorado  el paso  1998  8  243.1  95.2
Pennsylvania  clarion  1997  1  69.3  32.2
Michigan  ionia  2004  1  111.9  43.4
Virginia  loudoun  2009  5  605.8  212.3
Washington  snohomish  1997  9  290.1  113.1
Nebraska  dodge  2010  1  69.4  31.4
Nevada  clark  1997  14  173.9  70.8
Virginia  chesterfield  1996  1  610.5  229.5
North Carolina  gaston  2008  4  578.8  249.1
Arizona  navajo  2002  2  10.8  5.7
New York  yates  2008  2  75.0  39.9
South Carolina  sumter  1999  1  157.3  62.7
Montana  ravalli  1996  1  15.1  6.7
Illinois  boone  2003  1  193.0  71.1
Tennessee  rutherford  2006  1  424.0  166.2
Missouri  perry  2007  1  40.0  18.1
Texas  camp  2000  1  58.5  26.5
Nevada  white pine  1999  1  365.9  148.5
Tennessee  roane  2008  1  150.2  71.3
Florida  brevard  2008  36  535.0  265.7
Connecticut  middlesex  1995  1  419.9  182.2
Montana  phillips  2000  1  0.9  0.5
South Carolina  greenwood  2005  1  153.2  68.3
Texas  parker  2009  1  129.4  51.6
New Jersey  morris  1998  1  1002.6  371.8
Colorado  pueblo  2006  2  66.7  29.1
Ohio  marion  2002  2  164.7  68.9
Minnesota  pine  2001  1  21.1  12.2
New Jersey  ocean  2005  9  917.0  442.2
Minnesota  crow wing  2009  1  62.6  40.2
Mississippi  lee  2008  1  184.3  79.7
Arkansas  poinsett  2005  1  32.4  14.4
North Carolina  wake  1999  2  754.7  311.3
Texas  comal  2009  14  193.9  84.2
Hawaii  honolulu  2009  13  1586.7  560.8
Washington  cowlitz  2009  3  89.8  38.1
Iowa  clay  2009  2  29.4  14.2
Mississippi  pike  1993  1  95.2  40.9
Virginia  page  2009  2  77.3  37.3
Indiana  allen  2002  1  540.6  231.5
Maryland  cecil  2004  1  292.0  118.7
Virginia  smyth  1993  1  73.2  33.4
Nevada  lyon  2005  1  26.0  11.3
Texas  medina  2003  2  34.7  13.6
Minnesota  dakota  2004  10  709.0  283.9
California  tulare  2008  2  91.7  29.4
California  napa  2005  4  182.4  73.2
California  colusa  2006  1  18.6  6.9
Indiana  benton  2002  1  21.8  9.7
Minnesota  cass  2006  1  14.1  12.3
Missouri  howell  2007  1  43.6  19.4
Tennessee  henry  2004  1  57.5  30.3
Michigan  kalkaska  1998  1  29.5  19.3
Ohio  lorain  2003  1  613.6  258.7
Florida  lee  2000  3  548.6  305.4
California  santa clara  1994  1  1303.6  448.9
Texas  bell  1997  1  224.6  87.6
Oklahoma  comanche  2005  2  116.1  47.5
Oklahoma  jackson  2002  1  32.9  15.0
California  sacramento  1992  2  1267.0  491.7
Maine  washington  1998  3  13.2  8.5
Massachusetts  suffolk  2005  11  12415.6  5425.6
Wisconsin  racine  2004  3  587.7  247.1
Pennsylvania  northumberland  2009  1  206.2  98.4
Connecticut  new haven  2010  9  1426.7  598.8
Oregon  clackamas  2008  5  201.0  83.9
Virginia  fairfax  1997  1  2454.8  909.8
Pennsylvania  tioga  2003  1  37.0  18.8
Florida  okeechobee  2005  3  52.0  24.1
West Virginia  lincoln  2006  2  49.7  22.6
Ohio  allen  2006  1  264.2  111.8
Tennessee  sevier  2008  1  151.7  94.4
Texas  hays  2007  14  231.7  87.6
Alabama  bibb  2006  1  36.8  14.4
Kansas  kingman  2001  1  9.1  4.4
New York  saratoga  2007  2  271.1  121.8
Oregon  lincoln  2006  1  47.0  31.2
Virginia  henrico  2005  1  1313.4  568.2
Ohio  mahoning  1994  1  620.2  269.1
Michigan  alger  2009  1  10.5  7.2
North Dakota  richland  2003  1  11.4  5.2
Arizona  coconino  2003  9  7.2  3.4
Vermont  windham  2006  1  56.7  37.9
Texas  fort bend  1998  9  405.3  132.6
Ohio  summit  1991  1  1315.4  559.4
Tennessee  montgomery  1995  1  249.9  96.7
Missouri  franklin  2007  1  110.0  47.1
Oregon  grant  1998  1  1.8  0.9
Kansas  douglas  2000  1  218.8  88.1
Colorado  las animas  2007  2  3.2  1.7
New Jersey  gloucester  2009  4  895.3  341.0
Florida  walton  2009  1  53.0  43.5
West Virginia  preston  2009  2  51.7  23.3
Indiana  white  2000  1  50.0  23.9
Illinois  christian  2002  2  49.1  21.9
Texas  freestone  1998  1  20.4  9.3
Georgia  lumpkin  1999  1  73.9  29.0
California  san bernardino  1998  13  85.2  30.0
North Carolina  brunswick  2009  6  126.8  91.5
Pennsylvania  berks  1996  1  435.0  174.9
South Carolina  aiken  2004  2  149.5  67.5
New Jersey  somerset  2009  4  1071.7  408.0
Texas  ector  2009  2  152.8  59.1
South Dakota  beadle  2003  1  13.8  6.6
Colorado  alamosa  1997  1  20.7  8.4
Arkansas  sevier  2003  1  30.2  12.2
Wisconsin  green  2005  1  63.1  27.2
California  kern  1999  6  81.3  28.4
Illinois  madison  1996  1  357.2  150.3
Maine  knox  2006  2  108.8  65.0
South Carolina  lexington  2001  4  375.4  163.0
California  los angeles  1994  8  2344.2  805.5
Missouri  randolph  1996  1  51.1  22.3
South Carolina  chester  2005  2  57.1  25.3
Alabama  marshall  2003  1  164.4  71.3
New York  dutchess  2005  6  373.9  149.1
Nebraska  fillmore  2000  1  11.5  5.2
Wyoming  laramie  2009  2  34.2  15.1
Texas  mclennan  2009  1  226.5  91.7
Maine  somerset  2007  1  13.3  7.8
Washington  whitman  2004  1  20.7  8.9
Wisconsin  grant  2010  1  44.7  18.8
New Jersey  middlesex  2004  6  2621.6  954.3
Colorado  el paso  2005  8  292.6  118.9
Maryland  washington  2001  2  322.1  132.8
Colorado  adams  2005  3  378.2  139.7
Virginia  spotsylvania  2008  3  304.9  112.5
Missouri  callaway  1994  1  48.6  19.3
Ohio  fairfield  2001  4  289.8  116.3
Kentucky  livingston  2003  1  30.4  15.4
Utah  davis  2005  1  1025.8  326.6
Washington  pend oreille  2004  1  9.3  5.7
North Dakota  sioux  2004  1  3.8  1.2
Idaho  owyhee  2003  3  1.5  0.6
Pennsylvania  york  2001  1  481.1  197.6
Kansas  riley  2008  1  116.6  46.3
Virginia  chesterfield  2005  2  747.1  289.5
Illinois  fulton  2004  1  42.8  18.7
Illinois  saline  2007  1  65.6  30.8
Wisconsin  door  2009  1  57.6  49.7
Tennessee  rutherford  2009  1  424.0  166.2
Missouri  gasconade  1996  1  29.5  15.0
Illinois  crawford  2008  1  44.7  19.5
Texas  caldwell  2002  1  69.8  25.2
Nevada  white pine  2000  1  365.9  148.5
Florida  brevard  2001  17  535.0  265.7
Utah  washington  1995  1  37.2  15.0
Georgia  henry  2002  1  633.0  237.6
Florida  palm beach  1999  5  573.0  281.9
Illinois  logan  2010  1  49.0  19.6
Oklahoma  bryan  2006  1  46.9  21.7
Washington  thurston  2009  7  349.4  149.8
Illinois  coles  2009  1  106.0  46.1
Delaware  sussex  2008  4  210.6  131.4
Hawaii  honolulu  2006  4  1586.7  560.8
West Virginia  monongalia  2010  1  267.1  120.1
Arizona  la paz  2003  1  4.6  3.6
West Virginia  pleasants  2008  2  58.5  26.1
Idaho  bonneville  1999  1  44.2  16.3
Iowa  black hawk  2009  1  231.7  98.8
Nevada  lyon  2010  1  26.0  11.3
Virginia  surry  2003  1  25.3  12.3
Alabama  washington  2006  1  16.3  7.8
Rhode Island  kent  2005  3  985.9  437.3
Colorado  weld  2004  10  63.4  24.1
New Jersey  cape may  1999  2  401.0  356.8
California  nevada  2009  3  103.1  54.9
California  tulare  2001  4  91.7  29.4
Alabama  lee  2005  2  230.8  102.7
Oregon  washington  1999  21  615.3  247.2
Kentucky  oldham  2006  1  322.2  110.5
Indiana  lake  2005  1  994.1  418.4
New York  chemung  1996  1  223.1  92.5
Illinois  morgan  2002  1  62.5  27.3
Texas  runnels  2007  1  10.0  5.0
Ohio  lorain  2010  2  613.6  258.7
Illinois  woodford  2004  2  73.3  28.7
California  san diego  2007  53  735.8  276.9
Wisconsin  monroe  1999  2  45.4  18.5
New Mexico  chaves  2006  1  10.8  4.4
Idaho  ada  2007  3  372.8  151.5
Texas  bastrop  2009  1  83.5  33.0
California  plumas  2009  4  7.8  6.1
Texas  kleberg  2002  1  36.4  14.5
California  butte  2007  7  134.4  58.6
Texas  taylor  2007  2  143.6  60.9
Ohio  erie  2006  1  306.4  150.4
New Jersey  cumberland  2008  2  324.4  115.4
Illinois  will  1998  2  600.1  209.7
Tennessee  sevier  2003  1  151.7  94.4
Tennessee  hamilton  2000  2  567.6  248.3
Colorado  arapahoe  1996  2  607.6  245.1
Texas  hays  2008  19  231.7  87.6
Colorado  baca  2009  1  1.5  0.9
New York  saratoga  1998  4  247.1  106.8
Washington  grant  1994  1  27.9  10.8
Ohio  mahoning  2001  2  580.2  271.7
Michigan  alger  2000  1  10.7  6.5
Maryland  anne arundel  1997  1  1177.2  449.4
California  san luis obispo  2005  4  81.7  35.6
Tennessee  cheatham  2002  1  129.3  51.8
Arizona  coconino  2008  8  7.2  3.4
Texas  fort bend  2009  21  679.5  228.7
Alabama  cullman  2000  1  104.9  47.7
Kentucky  lawrence  2006  4  38.2  17.5
Texas  burnet  2002  1  43.0  21.0
Florida  walton  2000  1  38.4  27.5
North Carolina  burke  1997  1  175.9  73.9
Kentucky  mercer  2009  1  85.7  40.0
South Carolina  orangeburg  2004  1  83.6  38.4
North Carolina  pitt  2010  1  257.9  115.0
New Jersey  atlantic  2006  3  494.1  227.9
Florida  seminole  1997  1  1184.9  477.2
California  mariposa  2004  4  12.6  7.0
Tennessee  wilson  1995  1  155.6  61.2
California  san bernardino  2009  37  101.5  34.9
Texas  galveston  1999  1  627.8  280.4
Texas  ector  2002  3  152.8  59.1
Oregon  yamhill  2002  4  138.6  51.8
Colorado  alamosa  2006  1  21.4  9.1
Colorado  bent  2004  1  4.3  1.5
California  kern  2004  17  103.3  35.0
Oregon  baker  2002  1  5.3  2.9
South Carolina  darlington  1999  1  120.1  51.6
Michigan  muskegon  2003  1  344.9  147.3
South Carolina  lexington  2010  3  375.4  163.0
Indiana  johnson  2004  1  435.8  176.8
New York  orleans  2004  1  109.6  47.1
Alabama  marshall  2010  1  164.4  71.3
Washington  stevens  1999  4  16.2  7.1
Tennessee  williamson  2002  2  314.4  117.6
Kansas  osborne  1996  1  5.0  2.7
California  imperial  2008  3  41.8  13.4
Illinois  kankakee  2002  1  167.7  66.9
Missouri  mcdonald  2005  1  42.8  18.4
New York  otsego  1997  1  61.5  28.4
New York  richmond  1994  1  7587.9  2804.3
Pennsylvania  wayne  2008  1  72.8  43.6
Oklahoma  creek  2005  5  73.6  31.3
Michigan  berrien  1991  1  284.5  128.6
North Carolina  carteret  2002  2  131.3  95.2
Wisconsin  eau claire  2005  1  154.8  66.1
Missouri  lawrence  2004  1  63.2  27.2
Indiana  miami  2009  1  98.7  41.4
Texas  collin  2005  18  930.0  357.8
Indiana  huntington  2003  2  97.0  41.3
Colorado  jefferson  2006  6  699.5  300.9
Missouri  jasper  1994  1  163.6  71.2
West Virginia  wood  2003  3  237.4  109.8
Illinois  tazewell  2005  1  208.6  88.6
Georgia  liberty  1995  1  118.7  42.3
Maryland  washington  2010  5  322.1  132.8
North Carolina  johnston  2002  1  213.4  85.5
Virginia  spotsylvania  2003  1  304.9  112.5
Ohio  fairfield  2008  3  289.8  116.3
Illinois  warren  2005  1  32.6  14.2
North Carolina  onslow  2009  1  233.1  89.4
Wisconsin  door  2006  1  57.6  49.7
Maryland  baltimore  2009  10  1345.5  561.0
Texas  rockwall  2005  1  616.7  219.9
Michigan  hillsdale  2004  1  78.1  36.4
Wyoming  sweetwater  2002  1  4.2  1.8
New York  orange  2007  3  459.3  168.8
California  amador  2006  1  64.1  30.3
California  lake  1994  1  46.4  25.9
Connecticut  middlesex  2005  1  448.6  202.6
Michigan  allegan  2004  1  135.0  59.9
Alabama  walker  2003  2  84.7  38.9
Texas  chambers  2005  1  58.8  22.3
Georgia  henry  2009  4  633.0  237.6
Florida  palm beach  2006  15  670.2  337.4
Washington  thurston  2002  8  349.4  149.8
Virginia  fauquier  1997  2  84.9  32.4
Illinois  coles  2000  1  104.7  44.8
Ohio  richland  2006  1  251.3  110.2
Washington  cowlitz  1999  1  81.6  33.9
West Virginia  monongalia  2001  1  267.1  120.1
South Carolina  lancaster  2004  1  139.6  59.5
Arizona  la paz  2008  2  4.6  3.6
Ohio  brown  2000  1  86.0  35.0
North Carolina  transylvania  2007  1  87.4  50.6
Illinois  bureau  2003  2  40.2  18.1
Maryland  cecil  1994  2  246.9  99.0
Idaho  latah  2001  2  34.6  14.9
New Jersey  monmouth  2007  3  1344.7  551.2
Illinois  champaign  2004  1  201.8  87.9
New Hampshire  grafton  1997  1  47.7  25.5
Alaska  wade hampton  1996  1  1.1  0.6
California  nevada  2000  1  96.1  46.2
Michigan  washtenaw  2004  3  488.4  209.0
Colorado  routt  2005  1  10.0  6.9
New Jersey  cape may  2004  3  386.9  391.0
Mississippi  harrison  1999  1  326.3  137.1
Ohio  clark  2001  1  348.0  154.5
Wyoming  fremont  2004  1  4.4  1.9
Massachusetts  worcester  2005  11  528.6  216.3
Colorado  larimer  2003  5  115.4  51.1
Oregon  washington  2006  36  731.4  293.3
Virginia  nelson  2005  1  31.9  21.1
Maine  cumberland  2005  7  337.2  166.0
Utah  weber  2005  5  401.4  149.6
Indiana  knox  1998  3  76.1  33.5
Colorado  mesa  1998  1  34.9  14.6
California  santa clara  2008  27  1381.0  489.8
Texas  dickens  2007  1  2.7  1.4
Nevada  humboldt  1995  1  1.7  0.7
Maine  franklin  2007  2  18.1  12.8
Florida  okaloosa  2009  3  194.4  99.3
Maine  washington  2008  1  12.8  9.0
Indiana  marshall  2007  1  106.1  44.7
Montana  fergus  2001  1  2.7  1.3
Idaho  canyon  2006  2  321.6  118.2
Arkansas  lonoke  2007  2  88.7  35.3
Mississippi  pearl river  2007  2  68.9  29.6
Texas  bastrop  2000  2  65.0  25.1
Iowa  winnebago  2001  1  27.1  13.0
Pennsylvania  beaver  2007  2  392.3  179.9
Arizona  cochise  2001  2  21.3  9.6
Arizona  maricopa  2010  36  414.9  178.2
Texas  gregg  2005  1  445.4  181.2
Oregon  clackamas  1994  4  181.1  73.3
Michigan  clare  2001  1  54.8  41.2
Wisconsin  green lake  2010  1  54.5  30.4
Rhode Island  washington  1999  2  371.3  170.7
California  plumas  2006  1  7.8  6.1
Tennessee  mcminn  1991  1  113.9  50.3
Ohio  erie  1993  2  312.1  140.9
Ohio  paulding  2006  1  47.1  21.0
North Carolina  iredell  2004  1  277.8  120.3
Massachusetts  hampshire  2008  1  299.8  118.7
Tennessee  hamilton  1993  1  567.6  248.3
Colorado  arapahoe  2005  12  716.7  298.6
Texas  dallas  2007  7  2718.0  1082.6
Washington  spokane  1998  9  237.0  99.2
Ohio  mahoning  2008  5  580.2  271.7
Alabama  morgan  2004  1  206.3  88.4
Missouri  henry  2007  2  32.0  15.6
Kentucky  allen  2004  1  58.0  27.0
California  alameda  2003  26  2043.6  788.3
New York  seneca  2004  1  108.9  49.6
New Hampshire  rockingham  1991  2  399.1  162.6
Missouri  atchison  2008  1  10.4  5.5
Wyoming  johnson  1999  1  1.7  0.8
Kentucky  lawrence  2009  2  38.2  17.5
Iowa  warren  2001  1  81.1  32.2
Kansas  sherman  2001  1  5.7  3.0
Ohio  huron  2004  1  121.3  51.3
Michigan  menominee  1997  1  24.3  13.1
Michigan  saginaw  2005  1  250.2  108.5
Ohio  fulton  1994  1  103.5  39.9
North Carolina  mecklenburg  2005  10  1755.5  760.7
Vermont  rutland  2009  1  66.3  36.3
Wisconsin  barron  2002  1  53.2  27.4
Nebraska  lincoln  2003  1  14.2  6.5
Montana  stillwater  2005  1  5.1  2.7
Texas  blanco  2005  1  14.8  7.8
Colorado  yuma  2001  1  4.2  1.9
Illinois  dupage  2007  16  2799.8  1087.6
Illinois  cook  2007  65  5495.1  2306.5
Texas  ellis  2010  1  159.9  58.1
California  riverside  2000  19  214.4  81.1
Illinois  schuyler  2009  1  17.3  7.9
Mississippi  sunflower  1995  1  49.5  14.9
California  los angeles  2004  107  2419.6  849.0
Nevada  elko  1994  2  2.6  1.1
Utah  wayne  2001  1  1.1  0.6
New Mexico  catron  2000  1  0.5  0.4
Washington  stevens  2006  1  17.6  8.5
Iowa  webster  2008  1  53.1  23.8
California  imperial  2001  2  41.8  13.4
Missouri  wright  2004  1  5157.5  2842.9
Michigan  berrien  2008  3  276.2  135.5
Wisconsin  waushara  2007  1  39.1  23.7
Tennessee  claiborne  2010  2  74.1  34.2
Florida  alachua  1996  3  249.3  108.8
Arkansas  mississippi  2005  1  51.6  22.7
Pennsylvania  franklin  2002  1  193.7  81.9
New Hampshire  hillsborough  2005  4  457.4  189.5
New York  chautauqua  2005  1  127.2  63.1
North Carolina  johnston  2009  1  213.4  85.5
Massachusetts  middlesex  2000  6  1779.6  700.3
Wisconsin  rock  2005  1  223.3  95.3
South Carolina  barnwell  2008  1  41.2  19.1
Texas  nueces  2009  5  405.8  168.2
Alabama  calhoun  2008  4  195.7  88.0
Wyoming  albany  2007  1  8.5  4.2
Indiana  hamilton  1997  1  459.2  174.6
Illinois  stephenson  2005  1  84.5  39.1
Maryland  baltimore  2006  8  1345.5  561.0
Indiana  ripley  2008  2  64.6  26.8
South Carolina  york  1999  1  241.2  96.8
Florida  pasco  2001  1  622.2  306.5
Maryland  harford  2006  4  560.1  218.6
New York  nassau  2004  8  4704.8  1645.0
Iowa  boone  2000  1  45.9  19.2
New York  orange  1998  2  418.2  150.4
Washington  clallam  2007  1  41.1  20.5
Illinois  effingham  1995  1  71.6  29.2
Missouri  scott  2000  2  96.0  40.3
Michigan  ottawa  2005  6  468.2  181.9
West Virginia  wayne  2007  2  84.0  38.0
Florida  putnam  2005  1  102.2  51.3
Oklahoma  mccurtain  2004  1  17.9  8.4
North Carolina  wake  2004  7  1078.8  445.2
New York  wyoming  2002  1  71.1  30.3
North Carolina  cabarrus  1994  1  359.7  145.0
Arkansas  marion  2000  1  27.0  13.8
Connecticut  fairfield  2007  20  1467.2  578.1
Virginia  montgomery  2003  1  243.9  99.7
Indiana  porter  2003  1  393.0  158.3
Idaho  shoshone  2005  1  4.9  2.7
Indiana  fulton  2004  4  56.6  26.4
New Jersey  monmouth  2008  8  1344.7  551.2
New Hampshire  grafton  2004  3  52.2  29.9
Michigan  washtenaw  1999  2  454.8  184.6
Colorado  routt  1998  1  8.3  4.7
Indiana  fountain  2001  1  43.6  19.9
Alaska  kenai peninsula  2000  2  3.1  1.6
Texas  mcculloch  1999  1  7.7  3.9
Massachusetts  worcester  1996  2  496.3  197.1
Oregon  washington  2009  15  731.4  293.3
Missouri  cass  2007  3  142.8  57.4
Arkansas  carroll  2007  2  43.6  21.5
Tennessee  henry  1995  1  55.4  28.1
Pennsylvania  montour  1998  1  139.5  58.3
Missouri  iron  2003  1  19.3  9.7
Ohio  seneca  1995  1  106.6  43.0
Maine  cumberland  2010  5  337.2  166.0
Nevada  washoe  2002  3  66.9  29.3
Texas  coleman  2000  1  7.3  4.2
Ohio  scioto  2003  3  130.3  56.0
Texas  bell  2000  3  224.6  87.6
North Carolina  rowan  2004  1  270.7  117.7
Massachusetts  suffolk  1994  1  11788.4  4999.0
Oregon  union  2004  1  12.6  5.6
Arizona  maricopa  1997  76  333.8  135.8
Delaware  new castle  2003  3  1263.2  510.2
Ohio  warren  2009  6  530.0  201.2
Pennsylvania  indiana  2002  2  107.5  46.2
Missouri  mississippi  2000  1  32.5  14.1
Wisconsin  green lake  2003  1  54.5  30.4
New Jersey  sussex  1999  1  276.6  108.4
Nebraska  cass  2007  1  45.3  19.9
Texas  la salle  2009  1  4.6  1.8
Illinois  will  2008  13  809.6  283.8
California  orange  2007  63  3807.7  1326.8
Wisconsin  brown  2008  2  468.2  197.0
Texas  dallas  2008  10  2718.0  1082.6
Missouri  stone  2002  1  69.4  43.9
Michigan  oceana  2008  2  51.9  31.1
Michigan  grand traverse  2001  1  187.3  89.6
New York  erie  2007  10  881.4  402.8
New Mexico  grant  2009  1  7.4  3.7
Pennsylvania  monroe  1996  1  227.9  111.1
Arizona  coconino  1998  10  6.2  2.9
Missouri  henry  2008  1  32.0  15.6
California  alameda  2008  26  2043.6  788.3
New Mexico  los alamos  2001  1  164.4  76.5
Georgia  ben hill  2006  1  70.5  31.8
New Jersey  burlington  1995  2  526.2  200.5
Michigan  oakland  2010  7  1385.7  607.7
Washington  douglas  2005  2  21.1  8.8
Georgia  cobb  2004  13  2026.4  843.7
Missouri  grundy  2003  2  23.6  11.5
Kansas  harvey  2004  1  64.3  26.9
Missouri  christian  2001  2  137.6  56.1
Iowa  warren  1992  1  71.1  26.7
California  kings  2005  2  110.1  31.6
Indiana  union  2008  1  46.6  20.1
Michigan  saginaw  1998  1  259.6  105.7
Ohio  belmont  1998  1  130.7  58.1
Illinois  peoria  1999  1  296.1  126.2
Utah  san juan  1999  2  1.8  0.7
Arkansas  arkansas  1999  2  21.0  9.8
Nebraska  lincoln  2010  1  14.2  6.5
Nebraska  holt  2004  1  4.3  2.2
North Carolina  union  2007  3  318.7  115.4
Pennsylvania  union  1999  1  131.4  46.4
Hawaii  kauai  1991  1  93.9  40.7
Illinois  dupage  1998  1  2710.3  1006.0
Illinois  cook  1996  1  5685.6  2216.5
Texas  ellis  2003  1  159.9  58.1
Kentucky  logan  2007  1  48.6  22.3
California  riverside  2009  39  303.8  111.1
North Carolina  new hanover  2000  1  805.8  400.2
Missouri  dent  2009  2  20.8  9.7
Oregon  curry  2008  2  13.7  7.8
Nevada  elko  2005  2  2.8  1.1
Michigan  montmorency  2007  1  17.9  17.6
West Virginia  fayette  2007  1  69.6  32.7
Minnesota  pipestone  2000  1  21.2  9.5
Kentucky  graves  2008  2  67.3  30.4
Oklahoma  tulsa  2004  1  1058.1  470.7
Montana  roosevelt  2005  1  4.4  1.7
Tennessee  knox  1995  1  751.3  337.2
Oklahoma  oklahoma  2005  5  1013.8  451.2
California  imperial  1994  1  34.1  10.5
Colorado  chaffee  2008  1  17.6  9.9
Georgia  bibb  2010  1  622.8  278.9
Texas  denton  2005  6  754.3  291.6
Wyoming  washakie  1998  1  3.7  1.6
Michigan  luce  2003  1  7.4  4.8
Nebraska  franklin  2003  1  5.6  3.0
Missouri  jasper  2008  2  183.9  79.4
New Hampshire  hillsborough  1998  1  434.6  171.1
Arkansas  washington  1996  2  166.1  67.7
Utah  uintah  2009  1  7.3  2.7
Iowa  dickinson  1994  1  43.1  29.9
Mississippi  bolivar  2004  1  39.0  16.1
South Carolina  barnwell  2007  1  41.2  19.1
Texas  nueces  2002  2  405.8  168.2
Texas  eastland  2000  1  19.8  10.3
Montana  glacier  2004  1  4.5  1.8
Arkansas  madison  1996  1  17.0  7.8
Indiana  hamilton  2010  4  696.4  270.8
Texas  randall  2005  3  132.4  56.6
Maryland  baltimore  1999  8  1260.1  524.1
Tennessee  jefferson  2002  1  187.6  85.7
Wisconsin  lincoln  2005  3  32.7  19.1
South Carolina  york  2006  1  332.2  138.4
Maryland  harford  1997  1  496.4  188.8
South Carolina  pickens  2010  2  240.2  103.2
North Carolina  columbus  2009  1  62.0  27.8
Illinois  kendall  2005  1  358.2  125.9
Florida  marion  2009  1  209.1  103.5
Utah  salt lake  2008  3  1387.1  490.4
Washington  pierce  1998  14  417.4  165.0
Michigan  lapeer  1998  1  134.4  50.0
New York  westchester  2003  2  2204.7  861.4
Georgia  mcduffie  2003  1  85.0  36.2
Washington  benton  2008  2  103.0  40.4
Illinois  marion  2009  2  68.9  32.0
New York  onondaga  2004  4  600.0  260.0
California  monterey  1996  3  120.9  39.6
Minnesota  ramsey  1997  1  3280.6  1325.3
Oregon  klamath  2005  3  11.2  5.5
Michigan  osceola  2006  2  41.5  24.1
West Virginia  wayne  1998  1  84.8  37.8
California  fresno  1994  1  134.1  45.4
Arizona  gila  1999  1  10.8  5.9
Missouri  polk  2002  1  49.0  20.9
South Carolina  charleston  1998  2  337.5  153.5
Texas  atascosa  1999  1  31.4  12.1
North Carolina  cabarrus  2003  3  492.1  198.9
Connecticut  fairfield  1998  4  1410.3  542.4
Michigan  eaton  2003  4  187.4  81.8
Wisconsin  walworth  2007  1  184.2  92.8
Indiana  porter  2010  1  393.0  158.3
Alaska  kenai peninsula  2009  1  3.4  1.9
South Carolina  horry  1997  1  173.4  107.7
Massachusetts  bristol  2010  11  991.3  416.8
Texas  live oak  1992  1  11.9  6.0
Washington  jefferson  1999  2  14.3  7.8
Wyoming  uinta  2005  1  10.1  4.2
Indiana  grant  2010  2  169.2  73.5
Arizona  pinal  2002  2  70.0  29.7
Washington  pacific  2006  1  22.4  16.7
Florida  leon  2009  1  413.1  186.2
Missouri  iron  2010  2  19.3  9.7
Oklahoma  harmon  2006  1  5.4  2.9
Illinois  la salle  1999  1  98.3  40.9
Kentucky  webster  1999  1  42.2  18.7
Virginia  augusta  2005  1  76.3  32.3
Texas  lubbock  2007  3  311.3  128.5
North Carolina  cumberland  2007  2  489.7  207.8
New York  ulster  1997  1  157.8  68.9
Arizona  graham  2004  1  8.1  2.8
Nevada  washoe  1993  2  53.5  22.7
Massachusetts  barnstable  1996  1  561.9  371.9
Wisconsin  oconto  2007  1  37.7  23.6
Ohio  scioto  2008  2  130.3  56.0
Pennsylvania  washington  2005  1  242.5  108.5
Montana  beaverhead  2010  1  1.7  1.0
Indiana  vanderburgh  1996  1  732.9  325.3
Texas  bexar  2005  1  1383.1  534.7
Missouri  boone  1999  10  197.6  82.7
Wisconsin  rusk  2001  1  16.2  9.7
Kansas  linn  1999  1  16.0  7.9
Arkansas  little river  2003  2  24.7  12.1
Georgia  columbia  2003  2  427.6  167.6
Illinois  will  2001  14  809.6  283.8
California  orange  1992  1  3605.6  1228.1
Tennessee  anderson  2004  1  222.8  103.0
Ohio  lucas  1999  1  1336.6  576.4
Texas  polk  2007  1  43.0  21.5
Michigan  lenawee  2007  1  133.3  58.0
Wisconsin  brown  2003  2  468.2  197.0
Kansas  shawnee  2006  3  327.1  145.5
Wisconsin  dodge  2007  2  101.4  42.3
Missouri  stone  2009  1  69.4  43.9
South Dakota  lincoln  2002  3  77.7  31.0
New Mexico  santa fe  2004  4  75.5  37.3
New York  erie  1996  1  910.0  398.3
Michigan  livingston  2005  4  320.2  128.8
Maryland  anne arundel  2006  6  1295.9  512.3
New Mexico  grant  2000  1  7.8  3.5
Maine  aroostook  1995  1  11.1  5.8
New Jersey  burlington  2002  1  561.9  219.9
New Hampshire  rockingham  2005  7  425.0  182.4
Michigan  oakland  2003  9  1385.7  607.7
Indiana  bartholomew  2010  2  188.7  81.3
